N,T,rep,horizon,method,cond,n_active,pct_active,E_lambda,E_mu,CV_lambda,CV_mu,nMAE,nRMSE,nMdAE,CRPS,cov50,cov80,cov95,sharpness_std,pit_ks
200,26,0,13,MCMC,all,64,0.32,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.6582278481012658,1.519573257837055,0.0,0.5782118124999999,0.835,0.915,0.985,1.0909676701893705,0.0313396715005126
200,26,0,13,MCMC,active,64,0.32,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.5907172995780591,0.8421924016793012,0.270042194092827,1.5823663085937498,0.53125,0.734375,0.953125,1.9032200494193157,0.3375216245803119
200,26,0,13,MLE_plugin,all,64,0.32,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.679324894514768,1.5843867810564207,0.0,0.58407984375,0.83,0.91,0.98,1.0736376908681182,0.0439412634530972
200,26,0,13,MLE_plugin,active,64,0.32,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.6286919831223629,0.8860357636055148,0.270042194092827,1.6323947265625,0.515625,0.71875,0.9375,1.9203172770256225,0.3482144891034808
200,26,0,13,heuristic,all,64,0.32,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.7341772151898733,1.4171186180376931,0.0,0.87,0.57,0.57,0.57,0.0,0.29
200,26,0,13,heuristic,active,64,0.32,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.5063291139240507,0.728676224301195,0.270042194092827,1.875,0.234375,0.234375,0.234375,0.0,0.421875
200,26,0,26,MCMC,all,77,0.385,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.6039823008849559,1.483456160552231,0.0,1.02919534375,0.785,0.92,0.98,1.8539263442468417,0.0601017388055452
200,26,0,26,MCMC,active,77,0.385,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.5508849557522124,0.9086121847515346,0.3407079646017699,2.405962094155844,0.4935064935064935,0.8051948051948052,0.948051948051948,3.0768064830275583,0.2876603452614052
200,26,0,26,MLE_plugin,all,77,0.385,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.6139380530973452,1.587765133906133,0.0,1.0667388125,0.785,0.9,0.98,1.817443279144684,0.0551450237947768
200,26,0,26,MLE_plugin,active,77,0.385,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.5807522123893806,0.9784646899221184,0.3407079646017699,2.5524379870129867,0.4675324675324675,0.7532467532467533,0.948051948051948,3.0859938462795378,0.3121985407508984
200,26,0,26,heuristic,all,77,0.385,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.6880530973451328,1.3373523238679128,0.4424778761061947,1.555,0.485,0.485,0.485,0.0,0.305
200,26,0,26,heuristic,active,77,0.385,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.5398230088495576,0.7780001813920513,0.3407079646017699,3.168831168831169,0.0389610389610389,0.0389610389610389,0.0389610389610389,0.0,0.5324675324675325
200,26,0,52,MCMC,all,92,0.46,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.6240045506257111,1.448960780270925,0.2275312855517633,2.000028625,0.72,0.9,0.965,3.3488549482298384,0.0471565143653114
200,26,0,52,MCMC,active,92,0.46,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.5921501706484641,0.9750697876849168,0.3139931740614334,4.027880434782609,0.4239130434782608,0.7934782608695652,0.9239130434782608,5.172022769489432,0.3361400626641011
200,26,0,52,MLE_plugin,all,92,0.46,0.1227715280785461,0.1086747070226823,1.514419756970015,2.385487174387622,0.6700796359499431,1.6525022557519995,0.0,2.182513,0.695,0.865,0.945,3.133894769400165,0.093395476943392
