dataset,cond,metric,method,mean,sd,vs_BTYD_p,n_seeds
Olist,x>0,cov50,QuantileGBM,0.9387930177919642,0.01644900847776863,1.0,15
Olist,x>0,cov95,BTYD,0.9795304437250532,0.010201777079747459,,15
Olist,x>0,cov95,PoissonGBM,0.9764167417803922,0.013085999743235557,0.32698934959801507,15
Olist,x>0,cov95,HurdleGBM,0.9744078491528264,0.013303377652301386,0.12348527214454895,15
Olist,x>0,cov95,QuantileGBM,0.9652601670149505,0.014504211806008123,0.007632441648205508,15
Olist,x>0,nMAE,BTYD,1.0,0.0,,15
Olist,x>0,nMAE,PoissonGBM,1.03,0.07973169292786185,0.17971249487899976,15
Olist,x>0,nMAE,HurdleGBM,1.0,0.0,1.0,15
Olist,x>0,nMAE,QuantileGBM,1.0,0.0,1.0,15
Olist,x>0,pit_ks,BTYD,0.0858945512404668,0.03322801879115706,,15
Olist,x>0,pit_ks,PoissonGBM,0.0893238025670771,0.031010571843911865,0.803955078125,15
Olist,x>0,pit_ks,HurdleGBM,0.08741675509222004,0.03626414382774574,0.97796630859375,15
Olist,x>0,pit_ks,QuantileGBM,0.09433982608728723,0.0372400009160233,0.0301513671875,15
OnlineRetailII,all,CRPS,BTYD,0.7757125976562501,0.02610460553646388,,15
OnlineRetailII,all,CRPS,PoissonGBM,0.6930374876302083,0.04095553430940174,6.103515625e-05,15
OnlineRetailII,all,CRPS,HurdleGBM,0.6987392366536458,0.039473898314982304,6.103515625e-05,15
OnlineRetailII,all,CRPS,QuantileGBM,0.6814885504557292,0.045250775069438975,6.103515625e-05,15
OnlineRetailII,all,cov50,BTYD,0.80234375,0.009347056569736646,,15
OnlineRetailII,all,cov50,PoissonGBM,0.7663541666666667,0.014060846463631179,0.0006500242387180628,15
OnlineRetailII,all,cov50,HurdleGBM,0.7580208333333333,0.016961446347596085,0.0006386112041971715,15
OnlineRetailII,all,cov50,QuantileGBM,0.8125,0.012121070101347737,0.004112975191221482,15
OnlineRetailII,all,cov95,BTYD,0.99078125,0.002896199981071257,,15
OnlineRetailII,all,cov95,PoissonGBM,0.9486979166666667,0.008207995294586391,0.0006500242387180628,15
