dataset,cond,metric,BTYD_GG_mean,BTYD_GG_sd,ZILN_mean,ZILN_sd,wilcoxon_p,n_seeds
Dunnhumby,all,CRPS,270.52292943306475,9.954741949526495,275.54121026068367,11.892978546735868,0.15142822265625,15
Dunnhumby,all,cov95,0.7991099243435691,0.01665926540998141,0.9424121050289275,0.01123703205586819,0.0006516660806139112,15
Dunnhumby,all,nMAE,0.381683829114835,0.0118882174598547,0.39376359100051656,0.015565059006648115,0.00042724609375,15
Dunnhumby,all,pit_ks,0.14331710171377432,0.014881468620982611,0.07327366816820383,0.019179390813721026,6.103515625e-05,15
Dunnhumby,x>0,CRPS,272.42013287160523,9.659322423031762,277.7175335120213,12.028297551612683,0.12054443359375,15
Dunnhumby,x>0,cov95,0.800496977389797,0.015862367026805657,0.9419162332015247,0.011248754780238021,6.103515625e-05,15
Dunnhumby,x>0,nMAE,0.3804387453785804,0.011592964177226167,0.3926475448671983,0.015464521654684303,0.00042724609375,15
Dunnhumby,x>0,pit_ks,0.14077784480346853,0.014376279004245835,0.07245974680408447,0.019937722751234822,6.103515625e-05,15
OnlineRetailII,all,CRPS,392.9541537316141,32.54006732325318,468.3072073558064,136.15150449471673,0.01507568359375,15
OnlineRetailII,all,cov95,0.9806770833333334,0.0028394459841708172,0.9697916666666667,0.0063925339519928254,0.0006533107814151377,15
OnlineRetailII,all,nMAE,0.7764743095705956,0.07160608554035278,0.926616594991474,0.2686045844899881,0.05535888671875,15
OnlineRetailII,all,pit_ks,0.2118118962565586,0.010420737539061522,0.03121884715315543,0.00679012301284168,6.103515625e-05,15
OnlineRetailII,x>0,CRPS,519.5421393222965,49.26431169706339,663.7849753242676,214.29316969290446,0.00335693359375,15
OnlineRetailII,x>0,cov95,0.973222424185771,0.003929969533970845,0.969953913653513,0.007318356841301793,0.03304694365260125,15
OnlineRetailII,x>0,nMAE,0.7256290334233643,0.06987875321254897,0.9204629210847938,0.28587402266585565,0.012451171875,15
OnlineRetailII,x>0,pit_ks,0.21940766684898724,0.01301216411717432,0.03594414204187011,0.011062304020762817,6.103515625e-05,15
Ta-Feng,all,CRPS,23976.167496280766,26185.244662805693,23389.735738514395,25749.820371242542,0.01025390625,15
Ta-Feng,all,cov95,0.9412875452499757,0.0019544131784567397,0.9798747676352607,0.0019586591158849823,6.103515625e-05,15
Ta-Feng,all,nMAE,1.2656077884121004,0.2822331444396619,1.244354601158036,0.25234310647502844,0.389404296875,15
Ta-Feng,all,pit_ks,0.08226690147735051,0.004646594247008863,0.020446678407200863,0.0038047916658075142,6.103515625e-05,15
Ta-Feng,x>0,CRPS,45265.6503529081,52310.87297123435,44134.19373688979,51437.33291793204,0.01806640625,15
Ta-Feng,x>0,cov95,0.9276080998735027,0.002736825330216233,0.9793747066104426,0.0031672631400823954,6.103515625e-05,15
Ta-Feng,x>0,nMAE,1.3611255043788442,0.39862411945812065,1.3366766664686776,0.3658310600330106,0.45428466796875,15
Ta-Feng,x>0,pit_ks,0.09022904703853712,0.005692049479540732,0.034253880466666865,0.0077897806664991,6.103515625e-05,15
