dataset,seed,method,cond,metric,value
Simulated,4,BTYD_raw,x>0,cov50,0.8380952380952381
Simulated,4,BTYD_raw,x>0,nMAE,0.6490514905149051
Simulated,4,BTYD_recal,all,CRPS,0.4781281973333334
Simulated,4,BTYD_recal,all,pit_ks,0.03768335504971976
Simulated,4,BTYD_recal,all,cov95,0.984
Simulated,4,BTYD_recal,all,cov50,0.8946666666666667
Simulated,4,BTYD_recal,all,nMAE,0.6568364611260054
Simulated,4,BTYD_recal,x>0,CRPS,0.834185942857143
Simulated,4,BTYD_recal,x>0,pit_ks,0.03518986510687094
Simulated,4,BTYD_recal,x>0,cov95,0.9833333333333333
Simulated,4,BTYD_recal,x>0,cov50,0.8238095238095238
Simulated,4,BTYD_recal,x>0,nMAE,0.6531165311653117
Simulated,5,BTYD_raw,all,CRPS,0.41114744791666663
Simulated,5,BTYD_raw,all,pit_ks,0.0319690979693846
Simulated,5,BTYD_raw,all,cov95,0.98
Simulated,5,BTYD_raw,all,cov50,0.8973333333333333
Simulated,5,BTYD_raw,all,nMAE,0.6255673222390318
Simulated,5,BTYD_raw,x>0,CRPS,0.7445528218283582
Simulated,5,BTYD_raw,x>0,pit_ks,0.03386703404680669
Simulated,5,BTYD_raw,x>0,cov95,0.9751243781094527
Simulated,5,BTYD_raw,x>0,cov50,0.8283582089552238
Simulated,5,BTYD_raw,x>0,nMAE,0.6203987730061351
Simulated,5,BTYD_recal,all,CRPS,0.41414950400000006
Simulated,5,BTYD_recal,all,pit_ks,0.037756591246119325
Simulated,5,BTYD_recal,all,cov95,0.9746666666666667
Simulated,5,BTYD_recal,all,cov50,0.8853333333333333
Simulated,5,BTYD_recal,all,nMAE,0.6308623298033283
Simulated,5,BTYD_recal,x>0,CRPS,0.7501604975124379
Simulated,5,BTYD_recal,x>0,pit_ks,0.043015209835346346
Simulated,5,BTYD_recal,x>0,cov95,0.9676616915422885
Simulated,5,BTYD_recal,x>0,cov50,0.8059701492537313
Simulated,5,BTYD_recal,x>0,nMAE,0.6257668711656442
Simulated,6,BTYD_raw,all,CRPS,0.38653619791666666
Simulated,6,BTYD_raw,all,pit_ks,0.021704728060769063
Simulated,6,BTYD_raw,all,cov95,0.9826666666666667
Simulated,6,BTYD_raw,all,cov50,0.9013333333333333
Simulated,6,BTYD_raw,all,nMAE,0.5459533607681756
Simulated,6,BTYD_raw,x>0,CRPS,0.6534647614168617
Simulated,6,BTYD_raw,x>0,pit_ks,0.03189764901819614
Simulated,6,BTYD_raw,x>0,cov95,0.9812646370023419
Simulated,6,BTYD_raw,x>0,cov50,0.8454332552693209
Simulated,6,BTYD_raw,x>0,nMAE,0.5389972144846796
Simulated,6,BTYD_recal,all,CRPS,0.39263154666666666
Simulated,6,BTYD_recal,all,pit_ks,0.03405351285546243
Simulated,6,BTYD_recal,all,cov95,0.9866666666666667
Simulated,6,BTYD_recal,all,cov50,0.9053333333333333
Simulated,6,BTYD_recal,all,nMAE,0.5459533607681756
Simulated,6,BTYD_recal,x>0,CRPS,0.6639077939110071
Simulated,6,BTYD_recal,x>0,pit_ks,0.030671387870541023
Simulated,6,BTYD_recal,x>0,cov95,0.9859484777517564
Simulated,6,BTYD_recal,x>0,cov50,0.8524590163934426
Simulated,6,BTYD_recal,x>0,nMAE,0.5389972144846796
Simulated,7,BTYD_raw,all,CRPS,0.40552734375
Simulated,7,BTYD_raw,all,pit_ks,0.020398040073593582
Simulated,7,BTYD_raw,all,cov95,0.98
Simulated,7,BTYD_raw,all,cov50,0.8866666666666667
Simulated,7,BTYD_raw,all,nMAE,0.5257214554579673
Simulated,7,BTYD_raw,x>0,CRPS,0.687682445941943
Simulated,7,BTYD_raw,x>0,pit_ks,0.03133985667701805
Simulated,7,BTYD_raw,x>0,cov95,0.9834123222748815
Simulated,7,BTYD_raw,x>0,cov50,0.8222748815165877
Simulated,7,BTYD_raw,x>0,nMAE,0.5172413793103449
Simulated,7,BTYD_recal,all,CRPS,0.405533088
Simulated,7,BTYD_recal,all,pit_ks,0.021100226556638402
Simulated,7,BTYD_recal,all,cov95,0.9786666666666667
Simulated,7,BTYD_recal,all,cov50,0.8906666666666667
Simulated,7,BTYD_recal,all,nMAE,0.5244667503136763
Simulated,7,BTYD_recal,x>0,CRPS,0.6876123222748816
Simulated,7,BTYD_recal,x>0,pit_ks,0.03240455711083978
Simulated,7,BTYD_recal,x>0,cov95,0.9834123222748815
Simulated,7,BTYD_recal,x>0,cov50,0.8293838862559242
Simulated,7,BTYD_recal,x>0,nMAE,0.5159642401021711
Simulated,8,BTYD_raw,all,CRPS,0.4068455208333333
Simulated,8,BTYD_raw,all,pit_ks,0.04257864008442469
Simulated,8,BTYD_raw,all,cov95,0.984
Simulated,8,BTYD_raw,all,cov50,0.8986666666666666
Simulated,8,BTYD_raw,all,nMAE,0.6356184798807749
Simulated,8,BTYD_raw,x>0,CRPS,0.7113873760516827
Simulated,8,BTYD_raw,x>0,pit_ks,0.05638868623214488
Simulated,8,BTYD_raw,x>0,cov95,0.9831730769230769
Simulated,8,BTYD_raw,x>0,cov50,0.8293269230769231
Simulated,8,BTYD_raw,x>0,nMAE,0.6306646525679759
Simulated,8,BTYD_recal,all,CRPS,0.4069337173333334
Simulated,8,BTYD_recal,all,pit_ks,0.04358460070454473
Simulated,8,BTYD_recal,all,cov95,0.984
Simulated,8,BTYD_recal,all,cov50,0.896
Simulated,8,BTYD_recal,all,nMAE,0.6348733233979135
Simulated,8,BTYD_recal,x>0,CRPS,0.7114884423076924
Simulated,8,BTYD_recal,x>0,pit_ks,0.05235936262984087
Simulated,8,BTYD_recal,x>0,cov95,0.9831730769230769
Simulated,8,BTYD_recal,x>0,cov50,0.8245192307692307
Simulated,8,BTYD_recal,x>0,nMAE,0.6299093655589125
Simulated,9,BTYD_raw,all,CRPS,0.40525557291666664
Simulated,9,BTYD_raw,all,pit_ks,0.03564675127368383
Simulated,9,BTYD_raw,all,cov95,0.9813333333333333
Simulated,9,BTYD_raw,all,cov50,0.8946666666666667
Simulated,9,BTYD_raw,all,nMAE,0.6418918918918918
Simulated,9,BTYD_raw,x>0,CRPS,0.7166926762623153
Simulated,9,BTYD_raw,x>0,pit_ks,0.050921784512572926
Simulated,9,BTYD_raw,x>0,cov95,0.9876847290640394
Simulated,9,BTYD_raw,x>0,cov50,0.8300492610837439
Simulated,9,BTYD_raw,x>0,nMAE,0.6347626339969372
Simulated,9,BTYD_recal,all,CRPS,0.4073884586666668
Simulated,9,BTYD_recal,all,pit_ks,0.038655596036601014
Simulated,9,BTYD_recal,all,cov95,0.9866666666666667
Simulated,9,BTYD_recal,all,cov50,0.8906666666666667
Simulated,9,BTYD_recal,all,nMAE,0.6403903903903904
Simulated,9,BTYD_recal,x>0,CRPS,0.7204881083743844
Simulated,9,BTYD_recal,x>0,pit_ks,0.05281526995122525
Simulated,9,BTYD_recal,x>0,cov95,0.9901477832512315
Simulated,9,BTYD_recal,x>0,cov50,0.8226600985221675
Simulated,9,BTYD_recal,x>0,nMAE,0.6332312404287901
Simulated,10,BTYD_raw,all,CRPS,0.4086115104166667
Simulated,10,BTYD_raw,all,pit_ks,0.02745895831169154
Simulated,10,BTYD_raw,all,cov95,0.9786666666666667
Simulated,10,BTYD_raw,all,cov50,0.892
Simulated,10,BTYD_raw,all,nMAE,0.572678331090175
Simulated,10,BTYD_raw,x>0,CRPS,0.7171379950495049
Simulated,10,BTYD_raw,x>0,pit_ks,0.025856206207516552
Simulated,10,BTYD_raw,x>0,cov95,0.9801980198019802
Simulated,10,BTYD_raw,x>0,cov50,0.8242574257425742
Simulated,10,BTYD_raw,x>0,nMAE,0.5626721763085398
Simulated,10,BTYD_recal,all,CRPS,0.40602001599999993
Simulated,10,BTYD_recal,all,pit_ks,0.023881290831763408
Simulated,10,BTYD_recal,all,cov95,0.9786666666666667
Simulated,10,BTYD_recal,all,cov50,0.8866666666666667
Simulated,10,BTYD_recal,all,nMAE,0.5706594885598923
Simulated,10,BTYD_recal,x>0,CRPS,0.7122370000000001
Simulated,10,BTYD_recal,x>0,pit_ks,0.03831358158666337
Simulated,10,BTYD_recal,x>0,cov95,0.9801980198019802
Simulated,10,BTYD_recal,x>0,cov50,0.8143564356435643
Simulated,10,BTYD_recal,x>0,nMAE,0.5606060606060606
Simulated,11,BTYD_raw,all,CRPS,0.35820635416666663
Simulated,11,BTYD_raw,all,pit_ks,0.03716783133488055
Simulated,11,BTYD_raw,all,cov95,0.9773333333333334
Simulated,11,BTYD_raw,all,cov50,0.904
Simulated,11,BTYD_raw,all,nMAE,0.6681109185441941
Simulated,11,BTYD_raw,x>0,CRPS,0.6407415056109725
Simulated,11,BTYD_raw,x>0,pit_ks,0.044288515728558076
Simulated,11,BTYD_raw,x>0,cov95,0.9775561097256857
Simulated,11,BTYD_raw,x>0,cov50,0.8453865336658354
