dataset,seed,model,metric,value
CDNow,6,BGNBD,pit_ks,0.023822164437683924
CDNow,6,BGNBD,cov95,0.9736953754773017
CDNow,7,ParetoNBD,CRPS,0.387615623674162
CDNow,7,ParetoNBD,pit_ks,0.06212775359794587
CDNow,7,ParetoNBD,cov95,0.9698769622401358
CDNow,7,BGNBD,CRPS,0.38480259068731437
CDNow,7,BGNBD,pit_ks,0.036122834108630375
CDNow,7,BGNBD,cov95,0.9719983029274502
CDNow,8,ParetoNBD,CRPS,0.3864721255833687
CDNow,8,ParetoNBD,pit_ks,0.05382761838450956
CDNow,8,ParetoNBD,cov95,0.9698769622401358
CDNow,8,BGNBD,CRPS,0.3853360097581671
CDNow,8,BGNBD,pit_ks,0.028994572718005818
CDNow,8,BGNBD,cov95,0.9715740347899873
CDNow,9,ParetoNBD,CRPS,0.38471385235468814
CDNow,9,ParetoNBD,pit_ks,0.046524046944423136
CDNow,9,ParetoNBD,cov95,0.9770895205770047
CDNow,9,BGNBD,CRPS,0.3849674188587187
CDNow,9,BGNBD,pit_ks,0.033569131392213736
CDNow,9,BGNBD,cov95,0.9745439117522274
Grocery,0,ParetoNBD,CRPS,0.5188596229508197
Grocery,0,ParetoNBD,pit_ks,0.03672932274696994
Grocery,0,ParetoNBD,cov95,0.9724590163934427
Grocery,0,BGNBD,CRPS,0.5192057049180329
Grocery,0,BGNBD,pit_ks,0.0669256832569961
Grocery,0,BGNBD,cov95,0.979672131147541
Grocery,1,ParetoNBD,CRPS,0.5200855737704917
Grocery,1,ParetoNBD,pit_ks,0.038790499797261124
Grocery,1,ParetoNBD,cov95,0.9744262295081967
Grocery,1,BGNBD,CRPS,0.5216871762295081
Grocery,1,BGNBD,pit_ks,0.06479651750507642
Grocery,1,BGNBD,cov95,0.9770491803278688
Grocery,2,ParetoNBD,CRPS,0.5129852622950819
Grocery,2,ParetoNBD,pit_ks,0.027691597317348604
Grocery,2,ParetoNBD,cov95,0.9750819672131148
Grocery,2,BGNBD,CRPS,0.5187302336065573
Grocery,2,BGNBD,pit_ks,0.07105689343970256
Grocery,2,BGNBD,cov95,0.9770491803278688
Grocery,3,ParetoNBD,CRPS,0.5189812950819672
Grocery,3,ParetoNBD,pit_ks,0.048598527273291614
Grocery,3,ParetoNBD,cov95,0.9685245901639344
Grocery,3,BGNBD,CRPS,0.5182789590163934
Grocery,3,BGNBD,pit_ks,0.07050157682373248
Grocery,3,BGNBD,cov95,0.9777049180327869
Grocery,4,ParetoNBD,CRPS,0.5193067540983607
Grocery,4,ParetoNBD,pit_ks,0.03936039810911274
Grocery,4,ParetoNBD,cov95,0.9711475409836066
Grocery,4,BGNBD,CRPS,0.5194978360655738
Grocery,4,BGNBD,pit_ks,0.06846965310122577
Grocery,4,BGNBD,cov95,0.9777049180327869
Grocery,5,ParetoNBD,CRPS,0.511728213114754
Grocery,5,ParetoNBD,pit_ks,0.012155981137121352
Grocery,5,ParetoNBD,cov95,0.9704918032786886
Grocery,5,BGNBD,CRPS,0.5192399098360655
Grocery,5,BGNBD,pit_ks,0.049174787588375235
Grocery,5,BGNBD,cov95,0.9783606557377049
Grocery,6,ParetoNBD,CRPS,0.5176388524590163
Grocery,6,ParetoNBD,pit_ks,0.04322610299166474
Grocery,6,ParetoNBD,cov95,0.9718032786885246
Grocery,6,BGNBD,CRPS,0.5199989139344262
Grocery,6,BGNBD,pit_ks,0.07002389702222067
Grocery,6,BGNBD,cov95,0.9777049180327869
Grocery,7,ParetoNBD,CRPS,0.5163318852459016
Grocery,7,ParetoNBD,pit_ks,0.026476642538327266
Grocery,7,ParetoNBD,cov95,0.9724590163934427
Grocery,7,BGNBD,CRPS,0.5208665409836065
Grocery,7,BGNBD,pit_ks,0.060522986076395946
Grocery,7,BGNBD,cov95,0.9757377049180328
Grocery,8,ParetoNBD,CRPS,0.5199826229508197
Grocery,8,ParetoNBD,pit_ks,0.037854602157880946
Grocery,8,ParetoNBD,cov95,0.9711475409836066
Grocery,8,BGNBD,CRPS,0.5202114385245902
Grocery,8,BGNBD,pit_ks,0.06880492279422579
Grocery,8,BGNBD,cov95,0.9763934426229508
Grocery,9,ParetoNBD,CRPS,0.5177784098360656
Grocery,9,ParetoNBD,pit_ks,0.025712662263279062
Grocery,9,ParetoNBD,cov95,0.9744262295081967
Grocery,9,BGNBD,CRPS,0.5205807704918033
Grocery,9,BGNBD,pit_ks,0.05871919446212748
Grocery,9,BGNBD,cov95,0.9770491803278688
OnlineRetailII,0,ParetoNBD,CRPS,0.775108944470478
OnlineRetailII,0,ParetoNBD,pit_ks,0.21471432744249092
OnlineRetailII,0,ParetoNBD,cov95,0.9906279287722587
OnlineRetailII,0,BGNBD,CRPS,0.7846810991682286
OnlineRetailII,0,BGNBD,pit_ks,0.22078755223034896
OnlineRetailII,0,BGNBD,cov95,0.9925023430178069
OnlineRetailII,1,ParetoNBD,CRPS,0.7852050784910964
OnlineRetailII,1,ParetoNBD,pit_ks,0.20677008137399105
OnlineRetailII,1,ParetoNBD,cov95,0.9908622305529522
OnlineRetailII,1,BGNBD,CRPS,0.7841219072164948
OnlineRetailII,1,BGNBD,pit_ks,0.21042466210404293
OnlineRetailII,1,BGNBD,cov95,0.9908622305529522
OnlineRetailII,2,ParetoNBD,CRPS,0.780065036316776
OnlineRetailII,2,ParetoNBD,pit_ks,0.21157931700586619
OnlineRetailII,2,ParetoNBD,cov95,0.9908622305529522
OnlineRetailII,2,BGNBD,CRPS,0.783468137886598
OnlineRetailII,2,BGNBD,pit_ks,0.21880770329165988
OnlineRetailII,2,BGNBD,cov95,0.9922680412371134
OnlineRetailII,3,ParetoNBD,CRPS,0.7811228268509841
OnlineRetailII,3,ParetoNBD,pit_ks,0.20947950039005903
OnlineRetailII,3,ParetoNBD,cov95,0.9899250234301781
OnlineRetailII,3,BGNBD,CRPS,0.7857172753631677
OnlineRetailII,3,BGNBD,pit_ks,0.2129560105538315
OnlineRetailII,3,BGNBD,cov95,0.9910965323336457
OnlineRetailII,4,ParetoNBD,CRPS,0.780254902764761
OnlineRetailII,4,ParetoNBD,pit_ks,0.2123871866553062
OnlineRetailII,4,ParetoNBD,cov95,0.989456419868791
OnlineRetailII,4,BGNBD,CRPS,0.7841697809278351
OnlineRetailII,4,BGNBD,pit_ks,0.21630651258794786
OnlineRetailII,4,BGNBD,cov95,0.9903936269915652
OnlineRetailII,5,ParetoNBD,CRPS,0.7796475866916588
OnlineRetailII,5,ParetoNBD,pit_ks,0.21028021773733324
OnlineRetailII,5,ParetoNBD,cov95,0.989456419868791
OnlineRetailII,5,BGNBD,CRPS,0.7840169824859418
OnlineRetailII,5,BGNBD,pit_ks,0.2152479232053378
OnlineRetailII,5,BGNBD,cov95,0.9920337394564198
OnlineRetailII,6,ParetoNBD,CRPS,0.7813824097938143
OnlineRetailII,6,ParetoNBD,pit_ks,0.20844508316196908
OnlineRetailII,6,ParetoNBD,cov95,0.9915651358950328
OnlineRetailII,6,BGNBD,CRPS,0.7857238943884722
OnlineRetailII,6,BGNBD,pit_ks,0.21374180000088766
OnlineRetailII,6,BGNBD,cov95,0.9910965323336457
OnlineRetailII,7,ParetoNBD,CRPS,0.7826153350515463
OnlineRetailII,7,ParetoNBD,pit_ks,0.21049455515493876
OnlineRetailII,7,ParetoNBD,cov95,0.9896907216494846
OnlineRetailII,7,BGNBD,CRPS,0.786429835402999
OnlineRetailII,7,BGNBD,pit_ks,0.21885248268326718
OnlineRetailII,7,BGNBD,cov95,0.9922680412371134
OnlineRetailII,8,ParetoNBD,CRPS,0.780476868556701
OnlineRetailII,8,ParetoNBD,pit_ks,0.20549396468425773
OnlineRetailII,8,ParetoNBD,cov95,0.9913308341143393
OnlineRetailII,8,BGNBD,CRPS,0.7843258757029051
OnlineRetailII,8,BGNBD,pit_ks,0.21130868550803428
OnlineRetailII,8,BGNBD,cov95,0.9917994376757263
OnlineRetailII,9,ParetoNBD,CRPS,0.7841626757263355
OnlineRetailII,9,ParetoNBD,pit_ks,0.21102276440058837
OnlineRetailII,9,ParetoNBD,cov95,0.989456419868791
OnlineRetailII,9,BGNBD,CRPS,0.7838594262535145
OnlineRetailII,9,BGNBD,pit_ks,0.21482518799225608
OnlineRetailII,9,BGNBD,cov95,0.9915651358950328
Dunnhumby,0,ParetoNBD,CRPS,6.9783379755706845
Dunnhumby,0,ParetoNBD,pit_ks,0.16298943457693804
Dunnhumby,0,ParetoNBD,cov95,0.7973568281938326
Dunnhumby,0,BGNBD,CRPS,6.9955830696836205
Dunnhumby,0,BGNBD,pit_ks,0.15906784108170735
Dunnhumby,0,BGNBD,cov95,0.777332799359231
Dunnhumby,1,ParetoNBD,CRPS,6.9912436223468175
Dunnhumby,1,ParetoNBD,pit_ks,0.16786698579843784
Dunnhumby,1,ParetoNBD,cov95,0.7957549058870644
Dunnhumby,1,BGNBD,CRPS,6.999444758710452
Dunnhumby,1,BGNBD,pit_ks,0.157533185965404
Dunnhumby,1,BGNBD,cov95,0.7793352022426913
Dunnhumby,2,ParetoNBD,CRPS,6.995684801762113
Dunnhumby,2,ParetoNBD,pit_ks,0.16580542839889434
Dunnhumby,2,ParetoNBD,cov95,0.7989587505006007
Dunnhumby,2,BGNBD,CRPS,7.006235805466559
Dunnhumby,2,BGNBD,pit_ks,0.15842146641399102
Dunnhumby,2,BGNBD,cov95,0.7805366439727673
Dunnhumby,3,ParetoNBD,CRPS,6.985576922306768
Dunnhumby,3,ParetoNBD,pit_ks,0.1630474484008172
Dunnhumby,3,ParetoNBD,cov95,0.7949539447336804
Dunnhumby,3,BGNBD,CRPS,6.994067666199439
Dunnhumby,3,BGNBD,pit_ks,0.15883128093657972
Dunnhumby,3,BGNBD,cov95,0.7801361633960753
Dunnhumby,4,ParetoNBD,CRPS,6.992992250700841
Dunnhumby,4,ParetoNBD,pit_ks,0.1658316226568053
Dunnhumby,4,ParetoNBD,cov95,0.7977573087705246
Dunnhumby,4,BGNBD,CRPS,7.004066442230676
Dunnhumby,4,BGNBD,pit_ks,0.15879629106542525
Dunnhumby,4,BGNBD,cov95,0.775330396475771
Dunnhumby,5,ParetoNBD,CRPS,6.976737054465359
Dunnhumby,5,ParetoNBD,pit_ks,0.16677095139901232
Dunnhumby,5,ParetoNBD,cov95,0.7929515418502202
Dunnhumby,5,BGNBD,CRPS,6.994048335502603
Dunnhumby,5,BGNBD,pit_ks,0.1591932601275029
Dunnhumby,5,BGNBD,cov95,0.7781337605126152
Dunnhumby,6,ParetoNBD,CRPS,6.986534831798158
Dunnhumby,6,ParetoNBD,pit_ks,0.16640169116055648
Dunnhumby,6,ParetoNBD,cov95,0.7977573087705246
Dunnhumby,6,BGNBD,CRPS,7.000011313576291
Dunnhumby,6,BGNBD,pit_ks,0.1623292242861577
Dunnhumby,6,BGNBD,cov95,0.7813376051261514
Dunnhumby,7,ParetoNBD,CRPS,6.981119773728473
Dunnhumby,7,ParetoNBD,pit_ks,0.167016502155515
Dunnhumby,7,ParetoNBD,cov95,0.8033640368442131
Dunnhumby,7,BGNBD,CRPS,6.9912551386664
Dunnhumby,7,BGNBD,pit_ks,0.15713984499237033
Dunnhumby,7,BGNBD,cov95,0.7789347216659992
Dunnhumby,8,ParetoNBD,CRPS,6.998787324789747
Dunnhumby,8,ParetoNBD,pit_ks,0.16636991263276468
Dunnhumby,8,ParetoNBD,cov95,0.7937525030036043
Dunnhumby,8,BGNBD,CRPS,7.013905556668003
Dunnhumby,8,BGNBD,pit_ks,0.15961374211680246
Dunnhumby,8,BGNBD,cov95,0.7793352022426913
Dunnhumby,9,ParetoNBD,CRPS,6.995218352022428
Dunnhumby,9,ParetoNBD,pit_ks,0.17014633428913373
Dunnhumby,9,ParetoNBD,cov95,0.7961553864637565
Dunnhumby,9,BGNBD,CRPS,7.0014444883860625
Dunnhumby,9,BGNBD,pit_ks,0.15910797425970125
Dunnhumby,9,BGNBD,cov95,0.7821385662795355
