dataset,N,seed,method,cond,metric,value
Simulated,1500,2,BTYD,all,cov95,0.9733333333333334
Simulated,1500,2,BTYD,all,cov50,0.9088888888888889
Simulated,1500,2,BTYD,all,nMAE,0.6913265306122449
Simulated,1500,2,BTYD,x>0,CRPS,0.7949372944078948
Simulated,1500,2,BTYD,x>0,pit_ks,0.0758626019715048
Simulated,1500,2,BTYD,x>0,cov95,0.9736842105263158
Simulated,1500,2,BTYD,x>0,cov50,0.8508771929824561
Simulated,1500,2,BTYD,x>0,nMAE,0.6798941798941799
Simulated,1500,2,PoissonGBM,all,CRPS,0.4677360416666667
Simulated,1500,2,PoissonGBM,all,pit_ks,0.049866070815385743
Simulated,1500,2,PoissonGBM,all,cov95,0.9422222222222222
Simulated,1500,2,PoissonGBM,all,cov50,0.88
Simulated,1500,2,PoissonGBM,all,nMAE,0.6607142857142858
Simulated,1500,2,PoissonGBM,x>0,CRPS,0.8587728344298245
Simulated,1500,2,PoissonGBM,x>0,pit_ks,0.07547214160653648
Simulated,1500,2,PoissonGBM,x>0,cov95,0.9122807017543859
Simulated,1500,2,PoissonGBM,x>0,cov50,0.793859649122807
Simulated,1500,2,PoissonGBM,x>0,nMAE,0.6428571428571429
Simulated,1500,2,HurdleGBM,all,CRPS,0.4640856944444445
Simulated,1500,2,HurdleGBM,all,pit_ks,0.0472081258404512
Simulated,1500,2,HurdleGBM,all,cov95,0.9577777777777777
Simulated,1500,2,HurdleGBM,all,cov50,0.88
Simulated,1500,2,HurdleGBM,all,nMAE,0.6875000000000001
Simulated,1500,2,HurdleGBM,x>0,CRPS,0.8559638432017543
Simulated,1500,2,HurdleGBM,x>0,pit_ks,0.07207771206575792
Simulated,1500,2,HurdleGBM,x>0,cov95,0.9385964912280702
Simulated,1500,2,HurdleGBM,x>0,cov50,0.793859649122807
Simulated,1500,2,HurdleGBM,x>0,nMAE,0.6759259259259259
Simulated,1500,2,QuantileGBM,all,CRPS,0.47254241666666663
Simulated,1500,2,QuantileGBM,all,pit_ks,0.03135567879817858
Simulated,1500,2,QuantileGBM,all,cov95,0.96
Simulated,1500,2,QuantileGBM,all,cov50,0.9244444444444444
Simulated,1500,2,QuantileGBM,all,nMAE,0.9604591836734695
Simulated,1500,2,QuantileGBM,x>0,CRPS,0.8723115679824561
Simulated,1500,2,QuantileGBM,x>0,pit_ks,0.04385964912280704
Simulated,1500,2,QuantileGBM,x>0,cov95,0.9473684210526315
Simulated,1500,2,QuantileGBM,x>0,cov50,0.881578947368421
Simulated,1500,2,QuantileGBM,x>0,nMAE,0.958994708994709
Simulated,1500,3,BTYD,all,CRPS,0.4881577256944445
Simulated,1500,3,BTYD,all,pit_ks,0.04537766094721982
Simulated,1500,3,BTYD,all,cov95,0.9622222222222222
Simulated,1500,3,BTYD,all,cov50,0.8822222222222222
Simulated,1500,3,BTYD,all,nMAE,0.7076566125290024
Simulated,1500,3,BTYD,x>0,CRPS,0.7806058458011583
Simulated,1500,3,BTYD,x>0,pit_ks,0.05749545485031193
Simulated,1500,3,BTYD,x>0,cov95,0.972972972972973
Simulated,1500,3,BTYD,x>0,cov50,0.8416988416988417
Simulated,1500,3,BTYD,x>0,nMAE,0.6949152542372882
Simulated,1500,3,PoissonGBM,all,CRPS,0.6216851666666667
Simulated,1500,3,PoissonGBM,all,pit_ks,0.07719359475793885
Simulated,1500,3,PoissonGBM,all,cov95,0.9066666666666666
Simulated,1500,3,PoissonGBM,all,cov50,0.8288888888888889
Simulated,1500,3,PoissonGBM,all,nMAE,0.8097447795823667
Simulated,1500,3,PoissonGBM,x>0,CRPS,1.0124611486486486
Simulated,1500,3,PoissonGBM,x>0,pit_ks,0.11545869494109473
Simulated,1500,3,PoissonGBM,x>0,cov95,0.8764478764478765
Simulated,1500,3,PoissonGBM,x>0,cov50,0.749034749034749
Simulated,1500,3,PoissonGBM,x>0,nMAE,0.8014527845036321
Simulated,1500,3,HurdleGBM,all,CRPS,0.5909975972222223
Simulated,1500,3,HurdleGBM,all,pit_ks,0.058760490942831534
Simulated,1500,3,HurdleGBM,all,cov95,0.9311111111111111
Simulated,1500,3,HurdleGBM,all,cov50,0.8311111111111111
Simulated,1500,3,HurdleGBM,all,nMAE,0.8213457076566125
Simulated,1500,3,HurdleGBM,x>0,CRPS,0.9582939189189189
Simulated,1500,3,HurdleGBM,x>0,pit_ks,0.0910181704574522
Simulated,1500,3,HurdleGBM,x>0,cov95,0.918918918918919
Simulated,1500,3,HurdleGBM,x>0,cov50,0.752895752895753
Simulated,1500,3,HurdleGBM,x>0,nMAE,0.8135593220338984
Simulated,1500,3,QuantileGBM,all,CRPS,0.5708776388888889
Simulated,1500,3,QuantileGBM,all,pit_ks,0.06591942133449058
Simulated,1500,3,QuantileGBM,all,cov95,0.9511111111111111
Simulated,1500,3,QuantileGBM,all,cov50,0.9022222222222223
Simulated,1500,3,QuantileGBM,all,nMAE,0.9524361948955917
Simulated,1500,3,QuantileGBM,x>0,CRPS,0.923260472972973
Simulated,1500,3,QuantileGBM,x>0,pit_ks,0.06305079372094446
Simulated,1500,3,QuantileGBM,x>0,cov95,0.9536679536679536
Simulated,1500,3,QuantileGBM,x>0,cov50,0.8764478764478765
Simulated,1500,3,QuantileGBM,x>0,nMAE,0.950363196125908
Simulated,1500,4,BTYD,all,CRPS,0.4416907986111111
Simulated,1500,4,BTYD,all,pit_ks,0.05741143379613961
Simulated,1500,4,BTYD,all,cov95,0.9844444444444445
Simulated,1500,4,BTYD,all,cov50,0.9
Simulated,1500,4,BTYD,all,nMAE,0.6690647482014389
Simulated,1500,4,BTYD,x>0,CRPS,0.7904012933298319
Simulated,1500,4,BTYD,x>0,pit_ks,0.054433549598710385
Simulated,1500,4,BTYD,x>0,cov95,0.9915966386554622
Simulated,1500,4,BTYD,x>0,cov50,0.8445378151260504
Simulated,1500,4,BTYD,x>0,nMAE,0.6600985221674877
Simulated,1500,4,PoissonGBM,all,CRPS,0.569208638888889
Simulated,1500,4,PoissonGBM,all,pit_ks,0.05387526661849251
Simulated,1500,4,PoissonGBM,all,cov95,0.9155555555555556
Simulated,1500,4,PoissonGBM,all,cov50,0.8266666666666667
Simulated,1500,4,PoissonGBM,all,nMAE,0.788968824940048
Simulated,1500,4,PoissonGBM,x>0,CRPS,1.0296465861344537
Simulated,1500,4,PoissonGBM,x>0,pit_ks,0.12607438294926726
Simulated,1500,4,PoissonGBM,x>0,cov95,0.865546218487395
Simulated,1500,4,PoissonGBM,x>0,cov50,0.7016806722689075
Simulated,1500,4,PoissonGBM,x>0,nMAE,0.7807881773399015
Simulated,1500,4,HurdleGBM,all,CRPS,0.5656317777777777
Simulated,1500,4,HurdleGBM,all,pit_ks,0.048513732235294316
Simulated,1500,4,HurdleGBM,all,cov95,0.9577777777777777
Simulated,1500,4,HurdleGBM,all,cov50,0.8466666666666667
Simulated,1500,4,HurdleGBM,all,nMAE,0.8201438848920863
Simulated,1500,4,HurdleGBM,x>0,CRPS,1.021006512605042
Simulated,1500,4,HurdleGBM,x>0,pit_ks,0.08379712890738777
Simulated,1500,4,HurdleGBM,x>0,cov95,0.9453781512605042
Simulated,1500,4,HurdleGBM,x>0,cov50,0.7436974789915967
Simulated,1500,4,HurdleGBM,x>0,nMAE,0.8152709359605911
Simulated,1500,4,QuantileGBM,all,CRPS,0.503963375
Simulated,1500,4,QuantileGBM,all,pit_ks,0.11403071497964362
Simulated,1500,4,QuantileGBM,all,cov95,0.9711111111111111
Simulated,1500,4,QuantileGBM,all,cov50,0.9177777777777778
Simulated,1500,4,QuantileGBM,all,nMAE,0.8141486810551559
Simulated,1500,4,QuantileGBM,x>0,CRPS,0.9069083508403362
Simulated,1500,4,QuantileGBM,x>0,pit_ks,0.09467032889707677
Simulated,1500,4,QuantileGBM,x>0,cov95,0.9705882352941176
Simulated,1500,4,QuantileGBM,x>0,cov50,0.8781512605042017
Simulated,1500,4,QuantileGBM,x>0,nMAE,0.8091133004926109
Simulated,1500,5,BTYD,all,CRPS,0.3629625868055555
Simulated,1500,5,BTYD,all,pit_ks,0.04017186877981918
Simulated,1500,5,BTYD,all,cov95,0.9888888888888889
Simulated,1500,5,BTYD,all,cov50,0.9133333333333333
Simulated,1500,5,BTYD,all,nMAE,0.5569620253164557
Simulated,1500,5,BTYD,x>0,CRPS,0.6684335443037975
Simulated,1500,5,BTYD,x>0,pit_ks,0.08565795639915297
Simulated,1500,5,BTYD,x>0,cov95,0.9873417721518988
Simulated,1500,5,BTYD,x>0,cov50,0.8565400843881856
Simulated,1500,5,BTYD,x>0,nMAE,0.5512820512820512
Simulated,1500,5,PoissonGBM,all,CRPS,0.4390580416666666
Simulated,1500,5,PoissonGBM,all,pit_ks,0.03144154441965391
Simulated,1500,5,PoissonGBM,all,cov95,0.9555555555555556
Simulated,1500,5,PoissonGBM,all,cov50,0.8866666666666667
Simulated,1500,5,PoissonGBM,all,nMAE,0.6544303797468354
Simulated,1500,5,PoissonGBM,x>0,CRPS,0.8097075421940928
Simulated,1500,5,PoissonGBM,x>0,pit_ks,0.12461670216330212
Simulated,1500,5,PoissonGBM,x>0,cov95,0.9282700421940928
Simulated,1500,5,PoissonGBM,x>0,cov50,0.8059071729957806
Simulated,1500,5,PoissonGBM,x>0,nMAE,0.6499999999999999
