dataset,seed,method,metric,value
Grocery,0,BTYD,ece,0.03151746724890828
Grocery,0,ML,brier,0.1164515212906935
Grocery,0,ML,ece,0.08535297628161749
Grocery,1,BTYD,brier,0.10005944323144104
Grocery,1,BTYD,ece,0.033417030567685586
Grocery,1,ML,brier,0.11874398937756381
Grocery,1,ML,ece,0.060122412632366236
Grocery,2,BTYD,brier,0.09859077510917029
Grocery,2,BTYD,ece,0.03149563318777293
Grocery,2,ML,brier,0.10545577575979917
Grocery,2,ML,ece,0.04304854318046035
Grocery,3,BTYD,brier,0.09787276200873363
Grocery,3,BTYD,ece,0.039923580786026217
Grocery,3,ML,brier,0.12262273408639249
Grocery,3,ML,ece,0.05193209035469625
Grocery,4,BTYD,brier,0.10176435589519651
Grocery,4,BTYD,ece,0.040906113537117914
Grocery,4,ML,brier,0.11302592717140304
Grocery,4,ML,ece,0.06774811334775965
Grocery,5,BTYD,brier,0.09561959606986899
Grocery,5,BTYD,ece,0.04682314410480348
Grocery,5,ML,brier,0.11724327058768816
Grocery,5,ML,ece,0.05675957350013388
Grocery,6,BTYD,brier,0.10280534934497818
Grocery,6,BTYD,ece,0.056353711790393037
Grocery,6,ML,brier,0.11359799814294129
Grocery,6,ML,ece,0.06648078633430504
Grocery,7,BTYD,brier,0.09281528384279476
Grocery,7,BTYD,ece,0.04578602620087335
Grocery,7,ML,brier,0.1112314340335028
Grocery,7,ML,ece,0.06199557278261468
Grocery,8,BTYD,brier,0.10618646288209607
Grocery,8,BTYD,ece,0.0589301310043668
Grocery,8,ML,brier,0.11616165663794531
Grocery,8,ML,ece,0.06789369700511054
Grocery,9,BTYD,brier,0.11225409388646287
Grocery,9,BTYD,ece,0.05308951965065502
Grocery,9,ML,brier,0.1338461121946156
Grocery,9,ML,ece,0.07078293051870782
Grocery,10,BTYD,brier,0.07465594978165939
Grocery,10,BTYD,ece,0.038220524017467256
Grocery,10,ML,brier,0.08697186896750911
Grocery,10,ML,ece,0.03358399924122994
Grocery,11,BTYD,brier,0.10498460698689956
Grocery,11,BTYD,ece,0.062467248908296934
Grocery,11,ML,brier,0.11992347560326189
Grocery,11,ML,ece,0.07500797231746735
Grocery,12,BTYD,brier,0.10790207423580786
Grocery,12,BTYD,ece,0.04425764192139736
Grocery,12,ML,brier,0.1275666308843903
Grocery,12,ML,ece,0.07638068186242346
Grocery,13,BTYD,brier,0.10033990174672489
Grocery,13,BTYD,ece,0.02304585152838428
Grocery,13,ML,brier,0.11619602610504502
Grocery,13,ML,ece,0.06336630143098251
Grocery,14,BTYD,brier,0.10741244541484715
Grocery,14,BTYD,ece,0.038930131004366805
Grocery,14,ML,brier,0.12315953144435089
Grocery,14,ML,ece,0.07146999281655048
OnlineRetailII,0,BTYD,brier,0.22498460937499995
OnlineRetailII,0,BTYD,ece,0.16590624999999998
OnlineRetailII,0,ML,brier,0.20371235369378488
OnlineRetailII,0,ML,ece,0.05749791322721427
OnlineRetailII,1,BTYD,brier,0.22620464843750004
OnlineRetailII,1,BTYD,ece,0.17631249999999998
OnlineRetailII,1,ML,brier,0.20133204655031048
OnlineRetailII,1,ML,ece,0.04973810748644505
OnlineRetailII,2,BTYD,brier,0.23611501953124997
OnlineRetailII,2,BTYD,ece,0.19058203125
OnlineRetailII,2,ML,brier,0.19797191383064047
OnlineRetailII,2,ML,ece,0.06335061264194519
OnlineRetailII,3,BTYD,brier,0.23418888671875
OnlineRetailII,3,BTYD,ece,0.19253515625
OnlineRetailII,3,ML,brier,0.19455639383453543
OnlineRetailII,3,ML,ece,0.054998725522586396
OnlineRetailII,4,BTYD,brier,0.23866599609375
OnlineRetailII,4,BTYD,ece,0.19236328125000002
OnlineRetailII,4,ML,brier,0.20224654806172807
OnlineRetailII,4,ML,ece,0.057485545235345645
OnlineRetailII,5,BTYD,brier,0.22786798828125
OnlineRetailII,5,BTYD,ece,0.18855859375
OnlineRetailII,5,ML,brier,0.19033929168761704
OnlineRetailII,5,ML,ece,0.03959513958606252
OnlineRetailII,6,BTYD,brier,0.23000560546874999
OnlineRetailII,6,BTYD,ece,0.18949609375
OnlineRetailII,6,ML,brier,0.19677259135092834
OnlineRetailII,6,ML,ece,0.03752414065399209
OnlineRetailII,7,BTYD,brier,0.2319729296875
OnlineRetailII,7,BTYD,ece,0.1882343749999999
OnlineRetailII,7,ML,brier,0.20213120337221113
OnlineRetailII,7,ML,ece,0.059674561928176266
OnlineRetailII,8,BTYD,brier,0.23236248046875
OnlineRetailII,8,BTYD,ece,0.16889453125
OnlineRetailII,8,ML,brier,0.2057006628452272
OnlineRetailII,8,ML,ece,0.05982007539602528
OnlineRetailII,9,BTYD,brier,0.22706369140625
OnlineRetailII,9,BTYD,ece,0.20369140625
OnlineRetailII,9,ML,brier,0.18706602013770568
OnlineRetailII,9,ML,ece,0.035348193977875
OnlineRetailII,10,BTYD,brier,0.22578921875
OnlineRetailII,10,BTYD,ece,0.1727578125
OnlineRetailII,10,ML,brier,0.201069650962267
OnlineRetailII,10,ML,ece,0.05146914863027198
OnlineRetailII,11,BTYD,brier,0.2307967578125
OnlineRetailII,11,BTYD,ece,0.18646875
OnlineRetailII,11,ML,brier,0.19633448145294027
OnlineRetailII,11,ML,ece,0.06008823794856931
OnlineRetailII,12,BTYD,brier,0.23245113281250002
OnlineRetailII,12,BTYD,ece,0.18879687499999998
OnlineRetailII,12,ML,brier,0.19840284273835485
OnlineRetailII,12,ML,ece,0.05333143272765285
OnlineRetailII,13,BTYD,brier,0.2272089453125
OnlineRetailII,13,BTYD,ece,0.19424999999999998
OnlineRetailII,13,ML,brier,0.19583226074920482
OnlineRetailII,13,ML,ece,0.03987108062567386
OnlineRetailII,14,BTYD,brier,0.22875650390624996
OnlineRetailII,14,BTYD,ece,0.17923046874999998
OnlineRetailII,14,ML,brier,0.1969680511261558
OnlineRetailII,14,ML,ece,0.05225465923013907
Olist,0,BTYD,brier,0.015496120371736246
Olist,0,BTYD,ece,0.006750258150169642
Olist,0,ML,brier,0.015467552213437914
Olist,0,ML,ece,0.00032714304251789405
Olist,1,BTYD,brier,0.015248167133795546
Olist,1,BTYD,ece,0.006243546245758961
Olist,1,ML,brier,0.015199641897129993
Olist,1,ML,ece,0.0006054261072921605
Olist,2,BTYD,brier,0.01740667133795545
Olist,2,BTYD,ece,0.008313173034370852
Olist,2,ML,brier,0.01735877860847046
Olist,2,ML,ece,0.002446806694943496
Olist,3,BTYD,brier,0.014907895707331465
Olist,3,BTYD,ece,0.005054580321581352
Olist,3,ML,brier,0.014845899878898578
Olist,3,ML,ece,0.0014797936632236863
Olist,4,BTYD,brier,0.015229340610709545
Olist,4,BTYD,ece,0.00617052662634607
Olist,4,ML,brier,0.015222451779095968
Olist,4,ML,ece,0.0005871587709420263
Olist,5,BTYD,brier,0.01276427201652161
Olist,5,BTYD,ece,0.0027054137778433403
Olist,5,ML,brier,0.012821480721886989
Olist,5,ML,ece,0.004103320939530024
Olist,6,BTYD,brier,0.015912450213895854
Olist,6,BTYD,ece,0.005943354477061513
Olist,6,ML,brier,0.01583293183958082
Olist,6,ML,ece,0.0005387059337115029
Olist,7,BTYD,brier,0.013827828588287358
Olist,7,BTYD,ece,0.003494615725033192
Olist,7,ML,brier,0.01380640903083736
Olist,7,ML,ece,0.002784603480104437
Olist,8,BTYD,brier,0.017131007523233512
Olist,8,BTYD,ece,0.00701430889511727
Olist,8,ML,brier,0.017113828774618575
Olist,8,ML,ece,0.002137595566707185
Olist,9,BTYD,brier,0.0162790935241186
Olist,9,BTYD,ece,0.005904263165658654
