dataset,cal_weeks,horizon,N,method,cond,n,pct_active,mean_x_cal,E_lambda_mle,E_lambda_mcmc,nMAE,nRMSE,nMdAE,CRPS,cov50,cov80,cov95,sharpness_std,pit_ks
CDNow,39,26,2357,MCMC,all,2357,0.2511667373780229,1.044548154433602,0.052211600119584714,0.053268667304104074,0.8398268398268398,2.1970186257841235,0.0,0.3832630479422996,0.838353839626644,0.8960543063215952,0.976240984302079,0.812256582938357,0.042179455305052516
CDNow,39,26,2357,MCMC,xcal_pos,946,0.2511667373780229,1.044548154433602,0.052211600119584714,0.053268667304104074,0.8064516129032258,1.5647346809623435,0.0,0.7212085961945032,0.766384778012685,0.9038054968287527,0.9788583509513742,1.4001296130496321,0.048930086099425174
CDNow,39,26,2357,MCMC,active,592,0.2511667373780229,1.044548154433602,0.052211600119584714,0.053268667304104074,0.7420634920634921,1.0601819100641365,0.42712842712842713,1.3058603716216217,0.3885135135135135,0.5912162162162162,0.9054054054054054,1.36881620676137,0.431547248400617
CDNow,39,26,2357,MLE,all,2357,0.2511667373780229,1.044548154433602,0.052211600119584714,0.053268667304104074,0.8293650793650794,2.2068396979987237,0.0,0.3843614711497666,0.8345354263894782,0.8926601612218923,0.9715740347899873,0.7925674174311239,0.04753952095758063
CDNow,39,26,2357,MLE,xcal_pos,946,0.2511667373780229,1.044548154433602,0.052211600119584714,0.053268667304104074,0.7938099389712292,1.572813224250002,0.0,0.7222225753171247,0.7568710359408034,0.9006342494714588,0.9704016913319239,1.3709018246581763,0.060603816230572316
CDNow,39,26,2357,MLE,active,592,0.2511667373780229,1.044548154433602,0.052211600119584714,0.053268667304104074,0.744949494949495,1.0718897953443338,0.42712842712842713,1.3315665857263512,0.36824324324324326,0.5760135135135135,0.8868243243243243,1.3413123014276724,0.44961555226050964
CDNow,39,13,2357,MCMC,all,2357,0.17055579126007636,1.044548154433602,0.052211600119584714,0.053268667304104074,0.8767217630853994,2.6107859833268137,0.0,0.21471522104369964,0.8909630886720408,0.9270258803563852,0.9804836656767076,0.5071181075640266,0.025688774680653892
CDNow,39,13,2357,MCMC,xcal_pos,946,0.17055579126007636,1.044548154433602,0.052211600119584714,0.053268667304104074,0.8523102310231023,1.8497492347560447,0.0,0.4140364904862579,0.8276955602536998,0.9175475687103594,0.9756871035940803,0.861518647848163,0.028440218521269656
CDNow,39,13,2357,MCMC,active,402,0.17055579126007636,1.044548154433602,0.052211600119584714,0.053268667304104074,0.7775482093663911,1.0400466080565114,0.5537190082644627,1.0551801791044775,0.3880597014925373,0.5746268656716418,0.8855721393034826,0.923456613967759,0.4901182128083742
CDNow,39,13,2357,MLE,all,2357,0.17055579126007636,1.044548154433602,0.052211600119584714,0.053268667304104074,0.8670798898071626,2.6030668225918383,0.0,0.21444978786593125,0.8888417479847264,0.9274501484938481,0.982605006364022,0.4972931558303814,0.026345623230603743
CDNow,39,13,2357,MLE,xcal_pos,946,0.17055579126007636,1.044548154433602,0.052211600119584714,0.053268667304104074,0.8407590759075908,1.843471787121273,0.0,0.4133315010570824,0.8224101479915433,0.9186046511627907,0.9799154334038055,0.8463758878301094,0.035784085304605306
CDNow,39,13,2357,MLE,active,402,0.17055579126007636,1.044548154433602,0.052211600119584714,0.053268667304104074,0.7789256198347106,1.043341378531626,0.5537190082644627,1.0683865049751244,0.3706467661691542,0.5746268656716418,0.8980099502487562,0.9125447370789094,0.5005229330812837
Grocery,52,26,1525,MCMC,all,1525,0.3081967213114754,3.6518032786885244,0.13848048554448972,0.1400313515901634,0.5608787718369507,1.330117542676136,0.0,0.5193535291803278,0.8688524590163934,0.9350819672131148,0.9724590163934427,1.2215432501587054,0.04016409179829106
Grocery,52,26,1525,MCMC,xcal_pos,935,0.3081967213114754,3.6518032786885244,0.13848048554448972,0.1400313515901634,0.5491847826086956,1.0553308463689155,0.0,0.7964948192513369,0.8171122994652407,0.9251336898395722,0.9679144385026738,1.7637221433730788,0.05256694468409295
Grocery,52,26,1525,MCMC,active,470,0.3081967213114754,3.6518032786885244,0.13848048554448972,0.1400313515901634,0.4581789306511382,0.6764683844471396,0.24880889359449443,1.3775996425531916,0.6425531914893617,0.8106382978723404,0.9106382978723404,2.4488034869076873,0.19251901688161582
Grocery,52,26,1525,MLE,all,1525,0.3081967213114754,3.6518032786885244,0.13848048554448972,0.1400313515901634,0.5561143462149285,1.3231914778852307,0.0,0.5208381803278689,0.8721311475409836,0.939016393442623,0.9685245901639344,1.2148963051233248,0.038755449726724955
