dataset,seed,model,metric,value
Sim-k2,11,GGG,timing_CRPS,19.058611248722293
Sim-k2,11,GGG,timing_MdAE,3.405421878900818
Sim-k3,0,PNBD,timing_CRPS,20.454717569160813
Sim-k3,0,PNBD,timing_MdAE,3.627818561953797
Sim-k3,0,GGG,timing_CRPS,19.503936198456575
Sim-k3,0,GGG,timing_MdAE,2.750640741167686
Sim-k3,1,PNBD,timing_CRPS,20.857706440772457
Sim-k3,1,PNBD,timing_MdAE,4.769290092089185
Sim-k3,1,GGG,timing_CRPS,19.131986498146926
Sim-k3,1,GGG,timing_MdAE,3.6144359237990895
Sim-k3,2,PNBD,timing_CRPS,23.327797094130265
Sim-k3,2,PNBD,timing_MdAE,5.307207698025026
Sim-k3,2,GGG,timing_CRPS,22.867926637792777
Sim-k3,2,GGG,timing_MdAE,3.92303022821923
Sim-k3,3,PNBD,timing_CRPS,17.28903065061026
Sim-k3,3,PNBD,timing_MdAE,3.549700818138687
Sim-k3,3,GGG,timing_CRPS,17.045444648068838
Sim-k3,3,GGG,timing_MdAE,2.9332052539394233
Sim-k3,4,PNBD,timing_CRPS,22.755363597600965
Sim-k3,4,PNBD,timing_MdAE,4.224220433731496
Sim-k3,4,GGG,timing_CRPS,25.051583379970666
Sim-k3,4,GGG,timing_MdAE,4.171530287352187
Sim-k3,5,PNBD,timing_CRPS,22.194336958571007
Sim-k3,5,PNBD,timing_MdAE,5.385641308324886
Sim-k3,5,GGG,timing_CRPS,17.695645766033024
Sim-k3,5,GGG,timing_MdAE,2.4663239138001116
Sim-k3,6,PNBD,timing_CRPS,20.44942475083025
Sim-k3,6,PNBD,timing_MdAE,4.893765275100801
Sim-k3,6,GGG,timing_CRPS,18.719189039303124
Sim-k3,6,GGG,timing_MdAE,4.006250677469936
Sim-k3,7,PNBD,timing_CRPS,23.196722225171566
Sim-k3,7,PNBD,timing_MdAE,4.714491410947092
Sim-k3,7,GGG,timing_CRPS,22.91913585062536
Sim-k3,7,GGG,timing_MdAE,3.530956693932854
Sim-k3,8,PNBD,timing_CRPS,28.945704071926976
Sim-k3,8,PNBD,timing_MdAE,6.063436005135574
Sim-k3,8,GGG,timing_CRPS,26.864391559627148
Sim-k3,8,GGG,timing_MdAE,3.832595265265075
Sim-k3,9,PNBD,timing_CRPS,24.796330214241998
Sim-k3,9,PNBD,timing_MdAE,4.3713183317149245
Sim-k3,9,GGG,timing_CRPS,26.093648080229517
Sim-k3,9,GGG,timing_MdAE,2.9512395525381745
Sim-k3,10,PNBD,timing_CRPS,16.718811388023102
Sim-k3,10,PNBD,timing_MdAE,3.750192015842182
Sim-k3,10,GGG,timing_CRPS,16.707511865830522
Sim-k3,10,GGG,timing_MdAE,2.753692873327389
Sim-k3,11,PNBD,timing_CRPS,22.54834929986054
Sim-k3,11,PNBD,timing_MdAE,3.219795035261877
Sim-k3,11,GGG,timing_CRPS,20.761203054921932
Sim-k3,11,GGG,timing_MdAE,1.831366978369035
CDNow,0,PNBD,timing_CRPS,58.27020098545438
CDNow,0,PNBD,timing_MdAE,109.42857142857143
CDNow,0,GGG,timing_CRPS,53.86325079793776
CDNow,0,GGG,timing_MdAE,107.85714285714286
CDNow,1,PNBD,timing_CRPS,48.87843071216597
CDNow,1,PNBD,timing_MdAE,101.79516018224646
CDNow,1,GGG,timing_CRPS,53.445595239470116
CDNow,1,GGG,timing_MdAE,107.5
CDNow,2,PNBD,timing_CRPS,51.703649468395014
CDNow,2,PNBD,timing_MdAE,105.64285714285714
CDNow,2,GGG,timing_CRPS,53.748463563520545
CDNow,2,GGG,timing_MdAE,107.78571428571429
CDNow,3,PNBD,timing_CRPS,55.74078439504781
CDNow,3,PNBD,timing_MdAE,108.42857142857143
CDNow,3,GGG,timing_CRPS,55.15096845459656
CDNow,3,GGG,timing_MdAE,108.71428571428572
CDNow,4,PNBD,timing_CRPS,53.900274907710035
CDNow,4,PNBD,timing_MdAE,107.85714285714286
CDNow,4,GGG,timing_CRPS,51.18888188875598
CDNow,4,GGG,timing_MdAE,105.57142857142857
CDNow,5,PNBD,timing_CRPS,53.90681990820688
CDNow,5,PNBD,timing_MdAE,108.0
CDNow,5,GGG,timing_CRPS,51.97612146693066
CDNow,5,GGG,timing_MdAE,106.85714285714286
CDNow,6,PNBD,timing_CRPS,52.65181178075904
CDNow,6,PNBD,timing_MdAE,107.28571428571428
CDNow,6,GGG,timing_CRPS,53.18519187651381
CDNow,6,GGG,timing_MdAE,107.28571428571428
CDNow,7,PNBD,timing_CRPS,54.613712877582294
CDNow,7,PNBD,timing_MdAE,108.14285714285714
CDNow,7,GGG,timing_CRPS,54.38819330084784
CDNow,7,GGG,timing_MdAE,108.28571428571428
CDNow,8,PNBD,timing_CRPS,53.61763732012948
CDNow,8,PNBD,timing_MdAE,107.85714285714286
CDNow,8,GGG,timing_CRPS,50.80403178540478
CDNow,8,GGG,timing_MdAE,105.57142857142857
CDNow,9,PNBD,timing_CRPS,50.31023948311342
CDNow,9,PNBD,timing_MdAE,105.14285714285714
CDNow,9,GGG,timing_CRPS,51.5646754541742
CDNow,9,GGG,timing_MdAE,106.0
CDNow,10,PNBD,timing_CRPS,54.286623947339535
CDNow,10,PNBD,timing_MdAE,108.14285714285714
CDNow,10,GGG,timing_CRPS,55.684907874847845
CDNow,10,GGG,timing_MdAE,108.57142857142858
CDNow,11,PNBD,timing_CRPS,52.819713245055006
CDNow,11,PNBD,timing_MdAE,107.28571428571428
CDNow,11,GGG,timing_CRPS,54.25586990083409
CDNow,11,GGG,timing_MdAE,108.28571428571428
Grocery,0,PNBD,timing_CRPS,22.547695981693614
Grocery,0,PNBD,timing_MdAE,3.982153831477922
Grocery,0,GGG,timing_CRPS,26.36253672747332
Grocery,0,GGG,timing_MdAE,2.8790060691808286
Grocery,1,PNBD,timing_CRPS,22.167541027829678
Grocery,1,PNBD,timing_MdAE,3.9069048279666445
Grocery,1,GGG,timing_CRPS,26.087668582429547
Grocery,1,GGG,timing_MdAE,2.940308192860213
Grocery,2,PNBD,timing_CRPS,23.265395863577925
Grocery,2,PNBD,timing_MdAE,3.8482964591157147
Grocery,2,GGG,timing_CRPS,26.40420954297216
Grocery,2,GGG,timing_MdAE,2.9422338401287376
Grocery,3,PNBD,timing_CRPS,22.431419272771493
Grocery,3,PNBD,timing_MdAE,3.7348587040159744
Grocery,3,GGG,timing_CRPS,26.056132596844698
Grocery,3,GGG,timing_MdAE,3.035482823105501
Grocery,4,PNBD,timing_CRPS,22.444072617117218
Grocery,4,PNBD,timing_MdAE,3.8045727469322146
Grocery,4,GGG,timing_CRPS,26.106926135156957
Grocery,4,GGG,timing_MdAE,2.868967031798973
Grocery,5,PNBD,timing_CRPS,23.494041033039167
Grocery,5,PNBD,timing_MdAE,3.933315965102174
Grocery,5,GGG,timing_CRPS,26.197015839310133
Grocery,5,GGG,timing_MdAE,2.8857734988351478
Grocery,6,PNBD,timing_CRPS,22.60578680252052
Grocery,6,PNBD,timing_MdAE,3.804880333776506
Grocery,6,GGG,timing_CRPS,26.349457016990453
Grocery,6,GGG,timing_MdAE,3.032627224393921
Grocery,7,PNBD,timing_CRPS,22.91595021958413
Grocery,7,PNBD,timing_MdAE,4.021896907021407
Grocery,7,GGG,timing_CRPS,26.787879955375125
Grocery,7,GGG,timing_MdAE,2.9906078367088296
Grocery,8,PNBD,timing_CRPS,22.470210340547883
Grocery,8,PNBD,timing_MdAE,4.135399156921892
Grocery,8,GGG,timing_CRPS,26.165694324477144
Grocery,8,GGG,timing_MdAE,3.1369005184471126
Grocery,9,PNBD,timing_CRPS,22.38426341374084
Grocery,9,PNBD,timing_MdAE,3.6893032395226646
Grocery,9,GGG,timing_CRPS,26.594674247715126
Grocery,9,GGG,timing_MdAE,2.9284980058613637
Grocery,10,PNBD,timing_CRPS,22.728590021881036
Grocery,10,PNBD,timing_MdAE,3.83191820003738
Grocery,10,GGG,timing_CRPS,26.60667208905511
Grocery,10,GGG,timing_MdAE,3.1328675698378254
Grocery,11,PNBD,timing_CRPS,22.3418058248741
Grocery,11,PNBD,timing_MdAE,3.9451725904030366
Grocery,11,GGG,timing_CRPS,26.27036787163739
Grocery,11,GGG,timing_MdAE,3.0073242237592046
