dataset,n,observed_pit_ks,naive_crit,bootstrap_crit,exceeds_naive,exceeds_bootstrap
CDNow,2357,0.04573251663759981,0.028012967480281994,0.031072636067177535,True,True
Grocery,1525,0.02462158080310306,0.03482603134174771,0.033778291025804846,False,False
