dataset,seed,method,cond,metric,value
OnlineRetailII,5,BTYD+GG,all,cov95,0.97890625
OnlineRetailII,5,BTYD+GG,all,nMAE,0.8217730352719148
OnlineRetailII,5,BTYD+GG,x>0,CRPS,646.8889107047198
OnlineRetailII,5,BTYD+GG,x>0,pit_ks,0.22077639751552797
OnlineRetailII,5,BTYD+GG,x>0,cov95,0.9739130434782609
OnlineRetailII,5,BTYD+GG,x>0,nMAE,0.7719059487900777
OnlineRetailII,5,ZILN,all,CRPS,514.0706882347847
OnlineRetailII,5,ZILN,all,pit_ks,0.0201399583951965
OnlineRetailII,5,ZILN,all,cov95,0.96171875
OnlineRetailII,5,ZILN,all,nMAE,0.8254618772919727
OnlineRetailII,5,ZILN,x>0,CRPS,731.876055431858
OnlineRetailII,5,ZILN,x>0,pit_ks,0.018291925465838466
OnlineRetailII,5,ZILN,x>0,cov95,0.9652173913043478
OnlineRetailII,5,ZILN,x>0,nMAE,0.8104060474912229
OnlineRetailII,6,BTYD+GG,all,CRPS,384.80023975187544
OnlineRetailII,6,BTYD+GG,all,pit_ks,0.2109375
OnlineRetailII,6,BTYD+GG,all,cov95,0.98046875
OnlineRetailII,6,BTYD+GG,all,nMAE,0.811138256599562
OnlineRetailII,6,BTYD+GG,x>0,CRPS,509.47350729983424
OnlineRetailII,6,BTYD+GG,x>0,pit_ks,0.21815950920245397
OnlineRetailII,6,BTYD+GG,x>0,cov95,0.9693251533742331
OnlineRetailII,6,BTYD+GG,x>0,nMAE,0.7565627666358793
OnlineRetailII,6,ZILN,all,CRPS,572.8697217486982
OnlineRetailII,6,ZILN,all,pit_ks,0.03185159371839186
OnlineRetailII,6,ZILN,all,cov95,0.9609375
OnlineRetailII,6,ZILN,all,nMAE,1.3809283849706988
OnlineRetailII,6,ZILN,x>0,CRPS,828.8873184204533
OnlineRetailII,6,ZILN,x>0,pit_ks,0.028435582822085914
OnlineRetailII,6,ZILN,x>0,cov95,0.9631901840490797
OnlineRetailII,6,ZILN,x>0,nMAE,1.4142023341683903
OnlineRetailII,7,BTYD+GG,all,CRPS,365.50425805720295
OnlineRetailII,7,BTYD+GG,all,pit_ks,0.21984374999999995
OnlineRetailII,7,BTYD+GG,all,cov95,0.98125
OnlineRetailII,7,BTYD+GG,all,nMAE,0.8590830781853878
OnlineRetailII,7,BTYD+GG,x>0,CRPS,476.8001599162933
OnlineRetailII,7,BTYD+GG,x>0,pit_ks,0.23634730538922155
OnlineRetailII,7,BTYD+GG,x>0,cov95,0.9736526946107784
OnlineRetailII,7,BTYD+GG,x>0,nMAE,0.8032831858166402
OnlineRetailII,7,ZILN,all,CRPS,331.6690678001392
OnlineRetailII,7,ZILN,all,pit_ks,0.03046874999999999
OnlineRetailII,7,ZILN,all,cov95,0.97734375
OnlineRetailII,7,ZILN,all,nMAE,0.7634944437736728
OnlineRetailII,7,ZILN,x>0,CRPS,454.28574425250173
OnlineRetailII,7,ZILN,x>0,pit_ks,0.039482513640518524
OnlineRetailII,7,ZILN,x>0,cov95,0.9760479041916168
OnlineRetailII,7,ZILN,x>0,nMAE,0.7462488750056189
OnlineRetailII,8,BTYD+GG,all,CRPS,404.8552785429648
OnlineRetailII,8,BTYD+GG,all,pit_ks,0.19640625
OnlineRetailII,8,BTYD+GG,all,cov95,0.98203125
OnlineRetailII,8,BTYD+GG,all,nMAE,0.7034846175914112
OnlineRetailII,8,BTYD+GG,x>0,CRPS,531.4106108724532
OnlineRetailII,8,BTYD+GG,x>0,pit_ks,0.22310012062726176
OnlineRetailII,8,BTYD+GG,x>0,cov95,0.9746682750301568
OnlineRetailII,8,BTYD+GG,x>0,nMAE,0.6570579424239649
OnlineRetailII,8,ZILN,all,CRPS,534.0170711136063
OnlineRetailII,8,ZILN,all,pit_ks,0.02546875000000004
OnlineRetailII,8,ZILN,all,cov95,0.965625
OnlineRetailII,8,ZILN,all,nMAE,0.9033058853289867
OnlineRetailII,8,ZILN,x>0,CRPS,752.9352455623967
OnlineRetailII,8,ZILN,x>0,pit_ks,0.01635705669481302
OnlineRetailII,8,ZILN,x>0,cov95,0.9674306393244874
OnlineRetailII,8,ZILN,x>0,nMAE,0.896245826285459
OnlineRetailII,9,BTYD+GG,all,CRPS,383.4528446834887
OnlineRetailII,9,BTYD+GG,all,pit_ks,0.19812499999999994
OnlineRetailII,9,BTYD+GG,all,cov95,0.9828125
OnlineRetailII,9,BTYD+GG,all,nMAE,0.8051938336397686
OnlineRetailII,9,BTYD+GG,x>0,CRPS,514.1419178949589
OnlineRetailII,9,BTYD+GG,x>0,pit_ks,0.20553921568627448
OnlineRetailII,9,BTYD+GG,x>0,cov95,0.9754901960784313
OnlineRetailII,9,BTYD+GG,x>0,nMAE,0.7585562160015272
OnlineRetailII,9,ZILN,all,CRPS,404.1765473122283
OnlineRetailII,9,ZILN,all,pit_ks,0.03718750000000004
OnlineRetailII,9,ZILN,all,cov95,0.96953125
OnlineRetailII,9,ZILN,all,nMAE,0.8141054314845251
OnlineRetailII,9,ZILN,x>0,CRPS,570.1584599629404
OnlineRetailII,9,ZILN,x>0,pit_ks,0.031149573978591805
OnlineRetailII,9,ZILN,x>0,cov95,0.9742647058823529
OnlineRetailII,9,ZILN,x>0,nMAE,0.7994977018939444
OnlineRetailII,10,BTYD+GG,all,CRPS,411.4649635615571
OnlineRetailII,10,BTYD+GG,all,pit_ks,0.20749999999999996
OnlineRetailII,10,BTYD+GG,all,cov95,0.9796875
OnlineRetailII,10,BTYD+GG,all,nMAE,0.7126800941276283
OnlineRetailII,10,BTYD+GG,x>0,CRPS,531.9128250754586
OnlineRetailII,10,BTYD+GG,x>0,pit_ks,0.2045492289442467
OnlineRetailII,10,BTYD+GG,x>0,cov95,0.9739027283511269
OnlineRetailII,10,BTYD+GG,x>0,nMAE,0.6609068875861132
OnlineRetailII,10,ZILN,all,CRPS,591.9441435490951
OnlineRetailII,10,ZILN,all,pit_ks,0.045781249999999996
OnlineRetailII,10,ZILN,all,cov95,0.9671875
OnlineRetailII,10,ZILN,all,nMAE,1.0808750938292393
