k,rep,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred
1.0,0,all,800,0.02379769473425508,0.25569302978515623,0.93875,0.98125,0.65125,0.585
1.0,0,xcal_pos,358,0.025987046181335183,0.5299884885649442,0.8910614525139665,0.9860335195530726,1.4134078212290502,1.3072625698324023
1.0,1,all,800,0.019436975263955103,0.8766599609375,0.78375,0.98,2.3025,2.061875
1.0,1,xcal_pos,620,0.028112624616116258,1.1212039440524193,0.7306451612903225,0.9741935483870968,2.9612903225806453,2.660483870967742
1.0,2,all,800,0.018843693797084837,0.27400006103515623,0.92875,0.98125,0.52,0.361875
1.0,2,xcal_pos,365,0.0443409025682488,0.575970703125,0.863013698630137,0.9780821917808219,1.115068493150685,0.7931506849315069
1.0,3,all,800,0.019954792900060525,0.3835650390625,0.8625,0.9725,0.75,0.439375
1.0,3,xcal_pos,391,0.06270845178632778,0.6935779401774297,0.7800511508951407,0.969309462915601,1.4398976982097187,0.8989769820971867
1.0,4,all,800,0.03845889353472709,0.2778004272460937,0.875,0.985,0.4175,0.188125
1.0,4,xcal_pos,404,0.06089958563827724,0.46520657681002475,0.8118811881188119,0.9851485148514851,0.7376237623762376,0.3725247524752475
1.0,5,all,800,0.05110952217816944,0.3005349243164062,0.8925,0.975,0.60625,0.36625
1.0,5,xcal_pos,297,0.1094049029745523,0.7439956202651516,0.7676767676767676,0.9595959595959596,1.5656565656565657,0.9865319865319865
1.0,6,all,800,0.018987967652767557,0.366620068359375,0.9175,0.97875,0.8675,0.724375
1.0,6,xcal_pos,381,0.02934768536372545,0.733453186515748,0.8503937007874016,0.973753280839895,1.7847769028871392,1.520997375328084
1.0,7,all,800,0.037809991419279876,0.13141373291015623,0.96125,0.985,0.21875,0.135
1.0,7,xcal_pos,215,0.04136230161532961,0.4246803234011628,0.9069767441860465,0.986046511627907,0.7488372093023256,0.5023255813953489
1.0,8,all,800,0.027970297109288667,0.4529336669921875,0.86,0.9825,1.005,0.829375
1.0,8,xcal_pos,347,0.047612466622177,0.9532803212806196,0.7550432276657061,0.9711815561959655,2.2219020172910664,1.9121037463976944
1.0,9,all,800,0.04209530682849072,0.35106394042968747,0.85125,0.98625,0.5875,0.311875
1.0,9,xcal_pos,391,0.0609768552536436,0.6233754096067774,0.7723785166240409,0.9872122762148338,1.10230179028133,0.6381074168797954
1.0,10,all,800,0.0182301686431402,0.3805294921875,0.88,0.9825,0.81875,0.588125
1.0,10,xcal_pos,368,0.04670854605981822,0.756421190344769,0.7934782608695652,0.9782608695652174,1.7065217391304348,1.278532608695652
1.0,11,all,800,0.028644157027847283,0.2680086303710938,0.92,0.98625,0.55375,0.3875
1.0,11,xcal_pos,369,0.044091583868965945,0.5464538342649051,0.8563685636856369,0.991869918699187,1.165311653116531,0.8401084010840109
1.0,12,all,800,0.033609227483877346,0.5025880859374999,0.8825,0.9925,1.615,1.414375
1.0,12,xcal_pos,379,0.04281884736754932,1.0020428966029022,0.8047493403693932,0.9868073878627969,3.3482849604221636,2.9854881266490767
1.0,13,all,800,0.024786242220878718,0.5194361328125,0.88875,0.98625,1.38875,1.135625
1.0,13,xcal_pos,534,0.02303472364627973,0.7670084269662921,0.8408239700374532,0.9868913857677902,2.0692883895131087,1.701310861423221
1.0,14,all,800,0.03414989129708479,0.4374838745117187,0.88875,0.99125,1.235,1.11625
1.0,14,xcal_pos,389,0.026421313866113016,0.8663147443364395,0.7969151670951157,0.9897172236503856,2.506426735218509,2.295629820051414
1.5,0,all,800,0.02614377792630662,0.29351416015625,0.8825,0.99125,0.55375,0.266875
1.5,0,xcal_pos,390,0.04969508444736237,0.5394553034855769,0.8076923076923077,0.9897435897435898,1.0717948717948718,0.5474358974358975
1.5,1,all,800,0.036307961327303406,0.32989798583984375,0.90375,0.99375,1.02125,0.79375
1.5,1,xcal_pos,279,0.05638698063144981,0.8756048737119175,0.7885304659498208,0.996415770609319,2.85663082437276,2.2759856630824373
1.5,2,all,800,0.043336142884134954,0.163705712890625,0.95625,0.98875,0.44875,0.374375
1.5,2,xcal_pos,331,0.06040303982585221,0.37479020133119334,0.9123867069486404,0.9909365558912386,1.0634441087613293,0.904833836858006
1.5,3,all,800,0.028143739317849636,0.7822239624023437,0.855,0.99625,2.7525,2.65125
1.5,3,xcal_pos,473,0.04376505164349384,1.2956825201506343,0.7822410147991543,0.9936575052854123,4.627906976744186,4.484143763213531
1.5,4,all,800,0.02299968401214114,0.5892057983398438,0.8575,0.99125,1.75375,1.706875
1.5,4,xcal_pos,424,0.045017087964167146,1.0531607919369104,0.7759433962264151,0.9976415094339622,3.2476415094339623,3.2205188679245285
1.5,5,all,800,0.02643067569973445,0.599884423828125,0.89375,0.99375,1.97375,2.053125
1.5,5,xcal_pos,448,0.032800230766441174,1.0450365121023995,0.8325892857142857,0.9955357142857143,3.497767857142857,3.666294642857143
1.5,6,all,800,0.021701244332236636,0.160416943359375,0.95125,0.98125,0.335,0.21375
1.5,6,xcal_pos,204,0.049734470352915616,0.571161870021446,0.8676470588235294,0.9803921568627451,1.2549019607843137,0.8382352941176471
1.5,7,all,800,0.03407078946771114,0.5378690185546876,0.87625,0.99125,1.9375,1.71625
1.5,7,xcal_pos,464,0.04044403162826077,0.8997646779027481,0.8060344827586207,0.9935344827586207,3.3125,2.959051724137931
1.5,8,all,800,0.03779378993739613,0.4230623779296874,0.88875,0.99125,1.0025,0.796875
1.5,8,xcal_pos,395,0.04338504090144846,0.8065227699762657,0.8177215189873418,0.9898734177215189,1.9797468354430379,1.6139240506329113
1.5,9,all,800,0.03686882203535036,0.18752587890625003,0.94875,0.98875,0.40125,0.336875
1.5,9,xcal_pos,277,0.04531277492988395,0.5021258038131768,0.8844765342960289,1.0,1.1191335740072201,0.9729241877256317
1.5,10,all,800,0.03100192311405897,0.41932321777343745,0.90375,0.98875,1.55,1.4975
1.5,10,xcal_pos,340,0.04467765561372883,0.948427676930147,0.8029411764705883,0.9911764705882353,3.6088235294117648,3.523529411764706
1.5,11,all,800,0.023700038295999037,0.3805222534179687,0.86125,0.99,0.7125,0.454375
1.5,11,xcal_pos,422,0.062145600376897314,0.6685679937425949,0.7867298578199052,0.985781990521327,1.2962085308056872,0.8613744075829384
1.5,12,all,800,0.030592774231619324,0.5750629638671875,0.86625,0.9875,2.3125,2.12625
1.5,12,xcal_pos,456,0.035695078288052295,0.9624811540570174,0.8048245614035088,0.9890350877192983,4.008771929824562,3.7302631578947367
