N,T,rep,horizon,method,cond,n_active,pct_active,E_lambda,E_mu,CV_lambda,CV_mu,nMAE,nRMSE,nMdAE,CRPS,cov50,cov80,cov95,sharpness_std,pit_ks
300,26,0,13,MCMC,all,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5758785942492013,1.0489443615353247,0.47923322683706077,0.8758187716262974,0.78,0.9166666666666666,0.9866666666666667,1.7545670705075578,0.03250385104299586
300,26,0,13,MCMC,active,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5215654952076677,0.7524686581141639,0.26357827476038337,1.4245884450036699,0.6424242424242425,0.8606060606060606,0.9757575757575757,2.3678277447496825,0.16351806360682847
300,26,0,13,MLE_plugin,all,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5758785942492013,1.0314653314711288,0.47923322683706077,0.8771763541666666,0.7666666666666667,0.9233333333333333,0.97,1.7595743079960653,0.031394038225262544
300,26,0,13,MLE_plugin,active,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.507188498402556,0.7331968191144966,0.26357827476038337,1.4007693181818182,0.6303030303030303,0.8666666666666667,0.9454545454545454,2.3724729100025117,0.1324743227175666
300,26,0,13,MLE_boot,all,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5718849840255592,1.037847020497175,0.47923322683706077,0.878717477808387,0.7666666666666667,0.9233333333333333,0.98,1.773542282513447,0.03470871629350436
300,26,0,13,MLE_boot,active,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.512779552715655,0.7426826642880721,0.26357827476038337,1.4238250271308124,0.6242424242424243,0.8666666666666667,0.9636363636363636,2.4035472164441085,0.14889544346886974
300,26,0,13,heuristic,all,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.7667731629392972,1.1777832965601767,0.47923322683706077,1.6,0.33,0.33,0.33,0.0,0.4824583445821656
300,26,0,13,heuristic,active,165,0.55,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5351437699680511,0.7696879503247889,0.5271565495207667,2.0303030303030303,0.23636363636363636,0.23636363636363636,0.23636363636363636,0.0,0.4233674354912565
300,26,0,26,MCMC,all,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5468227424749164,0.9055033397242096,0.2508361204013378,1.5418530276816609,0.7233333333333334,0.8933333333333333,0.98,3.0885019579094273,0.04144803652176349
300,26,0,26,MCMC,active,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5096153846153846,0.670176189844759,0.43645484949832775,2.427868740802609,0.5574712643678161,0.8333333333333334,0.9655172413793104,4.109197692512383,0.18119738201779317
300,26,0,26,MLE_plugin,all,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5560200668896321,0.9010336975617439,0.2508361204013378,1.5389033541666668,0.69,0.9033333333333333,0.9766666666666667,3.041773980081387,0.02114118844605614
300,26,0,26,MLE_plugin,active,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5016722408026756,0.6554714678445825,0.43645484949832775,2.3731753591954017,0.5172413793103449,0.8505747126436781,0.9597701149425287,4.036061188469127,0.1507475559652246
300,26,0,26,MLE_boot,all,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5376254180602007,0.902080532392052,0.2508361204013378,1.5257669072883722,0.71,0.8966666666666666,0.98,3.105851325777209,0.04119759306273513
300,26,0,26,MLE_boot,active,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.4966555183946488,0.6658742349520416,0.43645484949832775,2.389693331198904,0.5344827586206896,0.8390804597701149,0.9655172413793104,4.126810469992797,0.1685789901202821
300,26,0,26,heuristic,all,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.7257525083612041,1.0781090916190332,0.5016722408026756,2.8933333333333335,0.25,0.25,0.25,0.0,0.5066666666666667
300,26,0,26,heuristic,active,174,0.58,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5242474916387959,0.7090488339167111,0.43645484949832775,3.603448275862069,0.09770114942528736,0.09770114942528736,0.09770114942528736,0.0,0.4827586206896552
300,26,0,52,MCMC,all,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5653298835705045,0.9557637024278353,0.258732212160414,3.102628633217993,0.7066666666666667,0.8733333333333333,0.9633333333333334,5.741981019383678,0.05965681850580079
300,26,0,52,MCMC,active,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5329883570504528,0.7230337391886235,0.3859422164726175,4.836278247085886,0.5363128491620112,0.7988826815642458,0.9385474860335196,7.580600997249732,0.2074315795265131
300,26,0,52,MLE_plugin,all,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5521776627856835,0.936445907865969,0.258732212160414,3.057887020833333,0.68,0.87,0.9666666666666667,5.686821336653047,0.03036410125861355
300,26,0,52,MLE_plugin,active,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5051746442432083,0.69865552638372,0.3859422164726175,4.669921194134078,0.5027932960893855,0.7932960893854749,0.9441340782122905,7.46139709358984,0.15150246039748694
300,26,0,52,MLE_boot,all,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5601552393272963,0.9484103252699188,0.258732212160414,3.0632315154916165,0.7233333333333334,0.8733333333333333,0.9733333333333334,5.7708471325481545,0.04546480340830611
300,26,0,52,MLE_boot,active,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.5232858990944372,0.714670203281368,0.3859422164726175,4.750305877464334,0.5754189944134078,0.7988826815642458,0.9553072625698324,7.606334292541996,0.19324436703117093
300,26,0,52,heuristic,all,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.7477360931435963,1.1411136779914888,0.45278137128072443,5.78,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.0,0.5366666666666666
300,26,0,52,heuristic,active,179,0.5966666666666667,0.2845659755858361,0.10755760603509847,0.612149256476251,2.067000541528275,0.542475204829668,0.768556863699908,0.3859422164726175,7.027932960893855,0.0670391061452514,0.0670391061452514,0.0670391061452514,0.0,0.5363128491620112
300,26,1,13,MCMC,all,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.9107142857142857,3.6202026665559446,0.0,0.1356977508650519,0.9333333333333333,0.9566666666666667,0.9733333333333334,0.36553182378780186,0.04721541714801725
300,26,1,13,MCMC,active,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.8392857142857142,1.0837093800499114,0.5178571428571428,1.2577073141629878,0.3448275862068966,0.5517241379310345,0.7241379310344828,1.02509367984596,0.4745697277705726
300,26,1,13,MLE_plugin,all,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.8392857142857143,3.4855752314184167,0.0,0.13312831249999998,0.94,0.9566666666666667,0.97,0.3594792665545964,0.04605108476977671
300,26,1,13,MLE_plugin,active,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.7857142857142856,1.0446047001578331,0.5178571428571428,1.2229620689655174,0.41379310344827586,0.5517241379310345,0.6896551724137931,1.0366739013129027,0.4424911888830282
300,26,1,13,MLE_boot,all,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.0,3.8382473678936924,0.0,0.1494605142332415,0.91,0.9466666666666667,0.97,0.28857291991434797,0.07770492994319
300,26,1,13,MLE_boot,active,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.0,1.1933596033288303,0.5178571428571428,1.4934264272822264,0.06896551724137931,0.4482758620689655,0.6896551724137931,0.842952510811405,0.6867914182978234
300,26,1,13,heuristic,all,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.607142857142857,4.439215319520019,0.0,0.3,0.8033333333333333,0.8033333333333333,0.8033333333333333,0.0,0.16777214794986406
300,26,1,13,heuristic,active,29,0.09666666666666666,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.4821428571428571,0.6867458758224788,0.5178571428571428,0.9310344827586207,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.0,0.38809168025874585
300,26,1,26,MCMC,all,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.9110169491525424,3.8199099664364544,0.0,0.2937051903114187,0.9033333333333333,0.9333333333333333,0.9666666666666667,0.5722046829802846,0.051489785076548
300,26,1,26,MCMC,active,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.8686440677966101,1.269730804993816,0.576271186440678,2.3817456238550783,0.17647058823529413,0.4117647058823529,0.7058823529411765,1.5003090812869475,0.627439319483176
300,26,1,26,MLE_plugin,all,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.9110169491525424,3.731460924624871,0.0,0.28660304166666667,0.9033333333333333,0.9333333333333333,0.9766666666666667,0.5770271646887847,0.054318402454215486
300,26,1,26,MLE_plugin,active,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.8601694915254238,1.2385789644557128,0.576271186440678,2.3072187499999997,0.17647058823529413,0.4117647058823529,0.7941176470588235,1.5533593323053143,0.616358300846447
300,26,1,26,MLE_boot,all,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.0,4.213492506663069,0.0,0.32062418120599934,0.9,0.9166666666666666,0.9533333333333334,0.49477549819941374,0.0701643150297262
300,26,1,26,MLE_boot,active,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.0,1.4184729459598424,0.576271186440678,2.7347255982282714,0.11764705882352941,0.2647058823529412,0.5882352941176471,1.3062639067746142,0.7100789954589117
300,26,1,26,heuristic,all,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.4915254237288136,4.088928163327057,0.0,0.5866666666666667,0.7766666666666666,0.7766666666666666,0.7766666666666666,0.0,0.15777214794986405
300,26,1,26,heuristic,active,34,0.11333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.5847457627118644,0.7828784020258304,0.288135593220339,2.0294117647058822,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.0,0.6633621179192355
300,26,1,52,MCMC,all,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.9404761904761906,3.8441137970088426,0.0,0.5235486447520185,0.89,0.9066666666666666,0.9633333333333334,0.8803272351420847,0.06163352793316201
300,26,1,52,MCMC,active,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.9119047619047619,1.3952462213317727,0.38095238095238093,3.695214749134948,0.2,0.3,0.725,2.2356644994018238,0.6045883756654338
300,26,1,52,MLE_plugin,all,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.9238095238095237,3.7579846965616874,0.0,0.5139852708333333,0.8933333333333333,0.9133333333333333,0.96,0.9017198115613853,0.0566575483055739
300,26,1,52,MLE_plugin,active,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.8904761904761904,1.363269379602045,0.38095238095238093,3.5966218750000003,0.225,0.35,0.7,2.350837713040561,0.5711275836896715
300,26,1,52,MLE_boot,all,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.0,4.146960201348047,0.0,0.5590104683195593,0.8733333333333333,0.91,0.95,0.8493905311409806,0.08543809755708343
300,26,1,52,MLE_boot,active,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.0,1.5142557649029935,0.47619047619047616,4.050221992653811,0.05,0.325,0.625,2.17753347715901,0.6980750233657209
300,26,1,52,heuristic,all,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,1.6380952380952383,4.362798827065279,0.0,1.1466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.0,0.17777214794986407
300,26,1,52,heuristic,active,40,0.13333333333333333,0.061408944471043794,0.15035852634569716,1.8084394817929303,1.2982177730694384,0.6285714285714286,0.8013593892557193,0.38095238095238093,3.3,0.0,0.0,0.0,0.0,0.625
800,39,0,13,MCMC,all,142,0.1775,0.14189039118871857,0.16029145865448002,2.152725973349794,2.168526096962129,0.4373134328358209,1.3090156387630267,0.0,0.2721790116782007,0.9175,0.96125,0.9825,0.6847683799527694,0.029916742962260212
800,39,0,13,MCMC,active,142,0.1775,0.14189039118871857,0.16029145865448002,2.152725973349794,2.168526096962129,0.3492537313432836,0.4986325698764478,0.21194029850746268,1.2052517788391244,0.647887323943662,0.8028169014084507,0.9084507042253521,2.216708796218676,0.2718361974482526
800,39,0,13,MLE_plugin,all,142,0.1775,0.14189039118871857,0.16029145865448002,2.152725973349794,2.168526096962129,0.4544776119402985,1.3186801558872618,0.0,0.27554428124999997,0.915,0.9625,0.9875,0.6946778866881974,0.03537546993133028
800,39,0,13,MLE_plugin,active,142,0.1775,0.14189039118871857,0.16029145865448002,2.152725973349794,2.168526096962129,0.3529850746268656,0.49152428613276095,0.21194029850746268,1.19153838028169,0.6338028169014085,0.8169014084507042,0.9366197183098591,2.1955730335812196,0.2642488197237632
